Radius,Area,FRR,Luminance,Sensitivity,high_Sensitivity,low_Sensitivity
0.25,0.196349540849362,0.5,0.650153795995214,31.0507888560345,26.1881185165958,39.4353643297831
0.25,0.196349540849362,2,1.1173235522755,70.140660831261,56.2096498316634,84.4661312143311
0.25,0.196349540849362,4,1.32021510767052,87.255910222428,63.7797982559087,108.992709481839
0.25,0.196349540849362,8,1.52838329865524,100.746332809767,82.2329599429018,138.080972073127
0.25,0.196349540849362,10,0.6359963362845,24.5028401712354,22.8295431078536,33.5046441200522
0.25,0.196349540849362,11.9,0.539734551548164,18.2040577947856,14.9474863677492,24.749005695949
0.25,0.196349540849362,13.3,0.473839594256053,14.4137181867241,14.4137181867241,22.3450337897869
0.25,0.196349540849362,14.9,0.484706772288239,14.433526554305,13.9405452448,18.506786798248
0.5,0.785398163397448,0.5,0.833253259815405,45.7722669424396,36.3900746040139,65.6655057069069
0.5,0.785398163397448,2,1.7589340784446,142.617599077905,118.919479371579,185.851097649519
0.5,0.785398163397448,4,1.96807863534078,162.920445101514,135.640361491431,193.209375018673
0.5,0.785398163397448,8,2.5056581778048,218.266541369105,184.936117854955,252.867191763091
0.5,0.785398163397448,10,1.38652148062697,82.9011526852774,72.7563759843516,98.7335137850064
0.5,0.785398163397448,11.9,0.856931681671028,37.5103180085564,33.5033342954859,61.421841358254
0.5,0.785398163397448,13.3,0.586806784375359,20.1376055475553,19.0316484296655,24.4418699699406
0.5,0.785398163397448,14.9,0.579031442906386,19.0608989288976,16.5433069300598,22.2272041543434
8,201.061929829747,0.5,1.41807843194376,105.135306020405,85.2592147937889,134.675213306497
8,201.061929829747,2,2.3944560530502,231.031948372645,195.196391144814,280.71284477347
8,201.061929829747,4,2.88120454544542,295.702053790661,270.944851030328,338.630515695604
8,201.061929829747,8,4.01727700124157,456.674706329566,390.734357458185,503.504707439847
8,201.061929829747,10,2.96633858421878,272.342332114952,249.184095644085,340.922806720152
8,201.061929829747,11.9,3.8647731884631,395.580158884746,341.140106374096,453.797679409217
8,201.061929829747,13.3,3.37412085419075,310.503301387199,243.273409234,355.967737598217
8,201.061929829747,14.9,3.60122647422311,332.280315305394,274.052575430066,393.753557777671
27.4620468035733,2369.276128,0.5,1.67675903730081,136.633091472947,111.967319060224,168.815735164272
27.4620468035733,2369.276128,2,2.69540868311677,278.026023791096,245.502008291846,312.804651771276
27.4620468035733,2369.276128,4,2.99513412156113,314.191346761271,266.593611879607,361.478855636306
27.4620468035733,2369.276128,8,4.13585751178981,477.931035024629,424.807714452975,536.35857232785
27.4620468035733,2369.276128,10,3.64161925590432,375.335588678975,342.789040570805,450.588654783523
27.4620468035733,2369.276128,11.9,3.86729991638387,395.984701605198,355.868667310174,428.314721444685
27.4620468035733,2369.276128,13.3,3.74474613509569,365.470318259689,316.346697561025,401.026142182165
27.4620468035733,2369.276128,14.9,3.69856480332681,346.432971567076,304.753305257832,387.025378072884
